#;PREGUNTA;RESPUESTA
1;¿Qué minerales críticos han experimentado una caída significativa en los precios en 2023?; Los precios de los materiales para baterías vieron particularmente grandes caídas  con los precios del litio cayendo un 75% y los precios del cobalto  níquel y grafito cayendo entre un 30% y un 45%.
2;¿Qué porcentaje de la capacidad solar fotovoltaica (PV) mundial fue añadido por China en 2023?;China representó el 62% del aumento en la capacidad solar fotovoltaica global en 2023.
3;¿Cuál es el escenario que proyecta que las ventas de autos eléctricos (EV) alcanzarán el 65% en 2030?;El escenario de emisiones netas cero (NZE) para 2050 proyecta que las ventas de autos eléctricos alcanzarán el 65% en 2030.
4;¿Cuál fue el crecimiento de la demanda de litio en 2023?;La demanda de litio aumentó en un 30% en 2023.
5;¿Qué país fue el mayor mercado de autos eléctricos en 2023?;China fue el mayor mercado de autos eléctricos en 2023  con 8.1 millones de ventas de autos eléctricos  representando el 60% del total global.
6;¿Cuál es el principal riesgo asociado con la concentración de mercado en la cadena de suministro de grafito para baterías?;Más del 90% del grafito de grado batería y el 77% de las tierras raras refinadas en 2030 se originan en China  lo que representa un riesgo significativo para la concentración del mercado.
7;¿Qué proporción de la capacidad mundial de producción de celdas de batería estaba en China en 2023?;China poseía el 85% de la capacidad de producción de celdas de batería en 2023.
8;¿Cuánto aumentó la inversión en minería de minerales críticos en 2023?;La inversión en minería de minerales críticos creció un 10% en 2023.
9;¿Qué porcentaje de la capacidad de almacenamiento de baterías en 2023 estaba compuesto por baterías de fosfato de hierro y litio (LFP)?;En 2023, las baterías LFP constituían aproximadamente el 80% del mercado total de almacenamiento de baterías.
10;¿Cuál es el pronóstico para la demanda de cobre en un escenario de emisiones netas cero (NZE) para 2040?;En el escenario de emisiones netas cero (NZE) para 2040  se espera que la demanda de cobre tenga el mayor aumento en términos de volumen de producción.
